Respondent,duration,code,priorQ1,updatedQ1,priorQ2,updatedQ2,priorQ3,updatedQ3,priorQ4,updatedQ4,priorQ5,updatedQ5,priorQ6,updatedQ6,priorQ7,updatedQ7,priorQ8,updatedQ8 ,priorQ9,updatedQ9,priorQ10,updatedQ10 ,Advice1,Advice2,Advice3,Advice4,Advice5,Advice6,Advice7,Advice8,Advice9,Advice10,True1,True2,True3,True4,True5,True6,True7,True8,True9,True10,SlNoQ1,SlNoQ2,SlNoQ3,SlNoQ4,SlNoQ5,SlNoQ6,SlNoQ7,SlNoQ8,SlNoQ9,SlNoQ10
1,317,3114,65,61,8,12,62,61,83,84,6,8,16,16,59,51,2,1,70,68,71,71,55,14,60,78,10,12,45,1,63,72,52,14,55,83,9,11,44,1,56,81,52,14,155,83,109,111,44,1,156,81
2,427,3447,44,50,56,61,68,76,58,58,28,33,58,62,38,36,28,30,66,69,70,66,52,70,76,60,35,65,35,32,70,65,46,63,79,54,29,55,38,27,83,67,46,63,179,154,129,55,38,27,183,67
3,457,3415,38,38,34,32,70,72,10,13,61,63,58,56,82,84,77,74,42,46,86,86,35,28,70,14,65,54,85,72,52,85,35,25,61,12,58,48,90,69,42,88,35,125,161,112,58,148,90,169,42,88
4,638,3291,45,50,60,68,51,52,50,58,53,60,54,53,60,65,4,4,3,3,19,21,52,68,55,62,65,52,72,3,3,25,42,64,52,61,58,48,71,2,3,23,142,64,52,61,58,48,71,102,3,23
5,299,3321,47,47,86,86,28,28,26,26,46,47,33,34,41,42,24,22,41,64,19,21,45,85,32,27,50,35,45,20,68,22,39,98,30,23,43,28,34,17,63,15,39,198,30,123,143,28,134,117,163,115
6,691,3111,75,73,13,14,44,44,13,13,2,3,68,68,73,75,2,3,87,87,48,55,68,16,45,14,5,68,78,4,85,60,64,16,40,14,4,69,83,3,97,64,64,16,40,14,4,69,83,103,197,164
7,435,3235,78,74,63,64,61,58,75,73,87,83,6,6,34,34,18,17,83,81,76,75,72,65,54,68,75,7,35,14,78,72,80,55,45,64,85,5,28,13,78,69,180,55,145,64,85,5,28,113,178,169
8,393,3188,72,72,87,86,43,57,25,27,84,82,62,68,62,74,42,47,83,83,67,69,72,85,60,32,78,72,80,52,82,72,77,90,60,27,91,76,66,47,92,81,77,90,160,27,191,76,66,147,192,81
9,576,3122,37,45,62,68,72,72,62,73,55,53,32,30,28,34,10,10,55,65,75,74,50,72,70,72,52,27,35,10,65,73,38,76,74,69,48,19,38,6,55,73,138,76,74,169,48,119,38,106,55,73
10,760,3486,87,87,24,24,55,55,35,35,84,84,85,85,70,70,52,52,66,66,71,71,85,22,45,35,72,72,65,55,68,75,95,19,44,27,71,77,66,52,64,76,95,19,44,127,71,77,166,52,64,176
11,363,3038,24,25,38,42,13,13,42,47,7,9,26,24,34,37,78,77,1,2,60,58,27,45,13,52,10,22,42,75,2,55,18,39,11,41,9,20,36,84,1,51,118,39,11,141,109,120,36,84,101,151
