Respondent,duration,code,priorQ1,updatedQ1,priorQ2,updatedQ2,priorQ3,updatedQ3,priorQ4,updatedQ4,priorQ5,updatedQ5,priorQ6,updatedQ6,priorQ7,updatedQ7,priorQ8,updatedQ8 ,priorQ9,updatedQ9,priorQ10,updatedQ10 ,Advice1,Advice2,Advice3,Advice4,Advice5,Advice6,Advice7,Advice8,Advice9,Advice10,True1,True2,True3,True4,True5,True6,True7,True8,True9,True10,SlNoQ1,SlNoQ2,SlNoQ3,SlNoQ4,SlNoQ5,SlNoQ6,SlNoQ7,SlNoQ8,SlNoQ9,SlNoQ10
1,233,3359,75,75,52,56,45,45,37,35,67,67,80,80,30,30,65,65,40,45,85,85,78,60,45,33,69,78,49,68,50,86,78,60,44,27,63,89,35,61,41,89,178,160,44,127,63,89,135,161,141,189
2,519,3377,33,30,28,18,8,8,55,52,75,69,30,30,63,65,74,64,80,80,65,60,30,16,9,53,67,31,68,66,77,60,24,16,7,48,64,29,61,56,85,52,24,116,107,148,64,29,161,56,85,152
3,481,3351,30,30,70,75,35,35,35,65,25,16,54,55,1,1,48,48,96,96,26,24,32,88,44,51,11,59,2,34,86,27,31,98,40,47,8,55,1,31,100,21,31,198,40,47,108,155,101,131,200,121
4,353,3018,72,75,24,24,36,52,50,51,28,28,68,78,54,55,19,19,2,2,85,85,77,26,52,54,27,81,59,18,3,82,85,22,54,51,21,91,55,18,2,99,85,122,54,151,121,91,155,18,102,199
5,263,3484,80,80,39,45,85,85,40,42,55,60,75,75,53,54,76,74,29,30,3,3,77,48,85,44,61,74,54,71,31,3,87,40,98,39,64,77,50,73,27,2,87,140,98,39,164,177,150,173,27,102
6,218,3389,12,10,26,27,67,68,25,26,8,7,18,18,50,51,70,70,70,70,68,67,4,34,76,34,3,17,62,73,72,67,3,30,80,28,3,15,61,77,71,63,103,130,80,128,3,15,61,77,71,163
7,420,3400,4,4,17,18,56,56,34,34,42,42,73,75,76,78,23,24,67,67,44,47,4,19,69,43,54,78,84,42,71,51,3,22,63,34,49,78,92,32,69,48,103,22,63,34,49,178,192,132,169,48
8,304,3326,7,7,75,80,47,53,54,60,73,73,17,21,78,78,40,40,76,76,70,72,8,87,65,72,79,32,88,51,86,78,6,93,65,71,81,25,100,47,90,88,6,93,165,71,181,25,100,147,190,188
9,465,3297,35,35,8,8,12,13,88,88,56,52,65,63,78,83,75,75,68,66,72,75,34,9,14,87,45,60,87,74,64,77,29,7,12,94,44,52,96,70,58,86,129,7,112,194,44,152,196,70,158,86
10,196,3428,31,31,34,38,17,15,14,15,62,62,9,9,59,61,55,49,71,69,82,90,43,44,12,16,64,9,63,45,67,95,34,40,11,16,59,7,55,44,64,95,34,40,111,16,59,107,55,44,64,195
