Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
1,baseline,0.593973287,0.515832464,0.664988749,0.550826372,0.474447064,0.60107407,0.816319191,0.701702474,0.902693596,0.662361264,0.554550049,0.818939314
2,baseline,0.594390023,0.511894289,0.663959977,0.550528073,0.501641209,0.616072403,0.814640758,0.694116839,0.90335481,0.665162739,0.552565022,0.829686555
3,baseline,0.595039282,0.517543156,0.666392694,0.550921373,0.490191427,0.600920936,0.815241814,0.69250224,0.904437284,0.66273733,0.549388635,0.824400789
4,baseline,0.594390308,0.513764877,0.664490878,0.55081885,0.47697662,0.640924279,0.815767181,0.69667532,0.905687333,0.661360663,0.549374629,0.817028116
5,baseline,0.594611391,0.51445169,0.666426788,0.550819199,0.468083174,0.621066558,0.815496666,0.697962311,0.904730291,0.662667542,0.549254307,0.815014856
6,baseline,0.595104261,0.515056045,0.667223202,0.550588881,0.501187129,0.621231528,0.815317681,0.700493099,0.903913275,0.662919242,0.552089278,0.815801747
7,baseline,0.593957238,0.511021816,0.66578759,0.55084223,0.480991788,0.606986242,0.815276081,0.700317796,0.90450573,0.662974295,0.551374537,0.818682294
8,baseline,0.594078585,0.514183551,0.666059909,0.550545439,0.4800652,0.627863215,0.81426709,0.692489515,0.901668901,0.661691363,0.552894683,0.819676408
9,baseline,0.593871931,0.511626874,0.662998179,0.550667384,0.473587247,0.597853807,0.814495846,0.697546493,0.902576697,0.663426914,0.555031458,0.822744304
10,baseline,0.594921839,0.512559886,0.668594599,0.550948449,0.480565363,0.604218764,0.815904774,0.697655263,0.900714942,0.66336546,0.550772615,0.821802949
11,baseline,0.59358157,0.513409738,0.66583834,0.550420965,0.497053591,0.615485327,0.813397919,0.693478368,0.901704672,0.662636415,0.552231537,0.822839787
12,baseline,0.595664886,0.513427354,0.667802021,0.551754511,0.488441996,0.606554378,0.81541373,0.700197999,0.90195948,0.663637473,0.553308805,0.819003565
13,baseline,0.595164291,0.51192673,0.669775699,0.550948419,0.48983354,0.608498555,0.81499205,0.697555398,0.903385235,0.663896817,0.554055711,0.820858833
14,baseline,0.594298647,0.510158928,0.667065981,0.550963274,0.500350549,0.606366912,0.814924694,0.698543236,0.904579802,0.660579426,0.550963389,0.811603207
15,baseline,0.594930455,0.514199143,0.66661584,0.550804177,0.487730801,0.61705352,0.815856503,0.69681999,0.906031498,0.662523979,0.549477893,0.817952938
16,baseline,0.594771188,0.513662521,0.668053923,0.551242677,0.474039209,0.60654129,0.815918299,0.700905312,0.902217457,0.662433481,0.552059183,0.819797381
17,baseline,0.594882857,0.512077308,0.668682798,0.550793676,0.500702552,0.601695355,0.815519385,0.701664028,0.904988903,0.663758046,0.553298512,0.818951366
18,baseline,0.594880228,0.516679563,0.665554473,0.551592519,0.470557027,0.612467487,0.814634275,0.693800875,0.906063631,0.663190194,0.549149761,0.819417036
19,baseline,0.594745698,0.512255674,0.665797725,0.550460087,0.478554572,0.601703433,0.816437828,0.700936865,0.905876058,0.665702379,0.554901288,0.820566511
20,baseline,0.595618638,0.514457516,0.668194895,0.550029336,0.491087644,0.599527918,0.816569357,0.701268463,0.906814749,0.665255188,0.554461954,0.82231318
21,baseline,0.597208888,0.517514465,0.669133068,0.549265632,0.486872602,0.6055468,0.817852615,0.692267506,0.908143851,0.665621745,0.552569249,0.826941395
22,baseline,0.596791314,0.515251529,0.669673864,0.551340614,0.462621446,0.603096469,0.815535562,0.695370116,0.907200092,0.663505105,0.552667004,0.819820004
23,baseline,0.595151665,0.512272003,0.668402725,0.551706749,0.473555829,0.602291131,0.81610297,0.696597396,0.904258141,0.665611352,0.553978806,0.826707973
24,baseline,0.592005479,0.511430277,0.664631278,0.549741648,0.457861024,0.613370137,0.815364287,0.701024527,0.9052863,0.661737867,0.554088413,0.823644883
25,baseline,0.59302355,0.512360318,0.668640886,0.551204707,0.476881769,0.602368504,0.815067255,0.693056789,0.903272719,0.657284681,0.552195458,0.821529546
26,baseline,0.594001286,0.512947274,0.667478177,0.550758848,0.484965841,0.615610197,0.814834087,0.696080326,0.901301347,0.66355216,0.553760489,0.819350271
27,baseline,0.595216014,0.513055209,0.664685058,0.551439309,0.492134887,0.614224424,0.813606359,0.693131295,0.905112861,0.663405445,0.553360191,0.820648441
28,baseline,0.595448617,0.515294364,0.665455779,0.549767717,0.471726534,0.615583284,0.81416797,0.692248581,0.903615449,0.66239226,0.552955083,0.820822852
29,baseline,0.595134881,0.513169966,0.667218765,0.55195704,0.479653393,0.616351963,0.815122934,0.693036366,0.903798864,0.661675278,0.554462723,0.812169525
30,baseline,0.594597554,0.513599836,0.6644009,0.551659881,0.491118036,0.60371447,0.816146319,0.699242449,0.901565285,0.663597745,0.55362839,0.820922221
31,baseline,0.595686801,0.516773307,0.667139726,0.550457421,0.479308705,0.604878309,0.816568551,0.695303195,0.905091379,0.663979006,0.551250827,0.82646231
32,baseline,0.594351628,0.508133195,0.668020026,0.550623297,0.481214961,0.618068261,0.813146701,0.69785637,0.901101071,0.660778253,0.551370682,0.818314535
33,baseline,0.594496461,0.511507023,0.667858876,0.550822478,0.492300054,0.595972006,0.816267724,0.70213484,0.905414222,0.663523185,0.553320154,0.822832654
34,baseline,0.597086785,0.513752166,0.669631318,0.551949346,0.481856876,0.599955056,0.811360972,0.690150856,0.900043322,0.658481628,0.54834592,0.813281225
35,baseline,0.595957445,0.514085061,0.667399162,0.551570778,0.480847051,0.626761936,0.817259843,0.698663908,0.904464111,0.66170793,0.550265764,0.817589239
36,baseline,0.595836436,0.515059554,0.668418393,0.551674381,0.504389732,0.615123541,0.815028946,0.696741335,0.905926367,0.661415471,0.550590297,0.817925157
37,baseline,0.593425243,0.512297832,0.667605766,0.550961596,0.491541025,0.621415413,0.816078055,0.703120959,0.90674005,0.664559077,0.551271804,0.817241032
38,baseline,0.595020869,0.512310338,0.666300371,0.552308859,0.485873174,0.609950466,0.815315591,0.696396004,0.905431598,0.664776716,0.55126799,0.824863063
39,baseline,0.594386424,0.513829192,0.666682086,0.551657468,0.501934769,0.610297657,0.814929228,0.695588207,0.902801466,0.66440826,0.552742259,0.829868878
40,baseline,0.596094043,0.516790583,0.668570711,0.551766172,0.496419267,0.608460282,0.815090094,0.693317994,0.905559427,0.662477631,0.553373346,0.81868507
41,baseline,0.596053276,0.513939273,0.667764743,0.551061857,0.485756409,0.604391302,0.814448621,0.69715053,0.904112732,0.662741918,0.550820388,0.825592694
42,baseline,0.595218103,0.515047331,0.668613045,0.551868356,0.485594457,0.614692563,0.812273402,0.695649026,0.899819532,0.659685424,0.54796455,0.821516455
43,baseline,0.594359425,0.514392584,0.667204702,0.552366373,0.484878497,0.617779706,0.816810853,0.70041228,0.904619128,0.663035207,0.550811141,0.819023124
44,baseline,0.594432172,0.511306802,0.666321528,0.550895761,0.484133959,0.617433615,0.815801206,0.694721207,0.90386697,0.664210524,0.553201962,0.824292054
45,baseline,0.59611669,0.513280598,0.667286997,0.551813476,0.488097997,0.600268117,0.815051168,0.696067341,0.904581698,0.664167874,0.551758573,0.824798658
46,baseline,0.592522977,0.512415227,0.665274992,0.549786714,0.488203218,0.605551892,0.817176558,0.693763776,0.905923564,0.665372149,0.552546234,0.82128552
47,baseline,0.595945196,0.515780741,0.668498997,0.551590272,0.493992321,0.602295384,0.813719844,0.698264654,0.904591774,0.663105318,0.550513251,0.820469269
48,baseline,0.5943033,0.511790584,0.666607438,0.551566757,0.491088225,0.607623295,0.815931284,0.707657051,0.904184949,0.662042375,0.550225817,0.819778641
49,baseline,0.596419923,0.517374918,0.667602167,0.552179715,0.495319217,0.60875972,0.813676926,0.696709095,0.901146371,0.662590246,0.54995806,0.823565994
50,baseline,0.59491382,0.511803021,0.666712062,0.552346869,0.49518361,0.610469438,0.81598964,0.696550876,0.903066217,0.664062221,0.554772766,0.817871242
51,baseline,0.595314715,0.515809877,0.666241756,0.55185844,0.486965516,0.59823465,0.81512947,0.697944763,0.90307768,0.66270917,0.549238312,0.818899333
52,baseline,0.595097906,0.515728757,0.666852149,0.552340863,0.476705477,0.614682153,0.815819579,0.69892254,0.904396448,0.663104999,0.551432229,0.823816389
53,baseline,0.594399979,0.511035869,0.666846507,0.552479721,0.477130554,0.614899787,0.814912563,0.695332803,0.905299781,0.661778053,0.550342546,0.822809807
54,baseline,0.595297454,0.514290546,0.668135014,0.551277738,0.477754513,0.615009442,0.816890124,0.700612714,0.905991146,0.66560579,0.552249025,0.825020279
55,baseline,0.597481332,0.51801709,0.670627695,0.552772846,0.480060613,0.605617331,0.812853456,0.700303988,0.897727496,0.656530199,0.547792965,0.814832582
56,baseline,0.591331026,0.509561641,0.66247988,0.548892087,0.492328232,0.61118244,0.812737719,0.69308745,0.900548246,0.660448845,0.550269176,0.817474387
57,baseline,0.594217498,0.509278997,0.666833537,0.547427179,0.494704407,0.601850748,0.818495304,0.701058542,0.907802214,0.667422977,0.553285217,0.829800894
58,baseline,0.597646533,0.517015057,0.671955531,0.552445149,0.462094625,0.612145298,0.813898333,0.691281731,0.900514881,0.659486782,0.549725279,0.819044106
59,baseline,0.595055571,0.515160476,0.668679857,0.552104746,0.478596756,0.620288083,0.813945403,0.699765312,0.902135384,0.662375919,0.552288606,0.819142585
60,baseline,0.595231382,0.515248467,0.666959745,0.551366574,0.475793276,0.599110942,0.817479089,0.703399427,0.905075477,0.66444088,0.549832562,0.825022032
