Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
1,tr_worse,0.314174667,0.216490171,0.407625402,0.537877274,0.467019597,0.605276804,1.31292431,1.158604564,1.451968856,1.033157563,0.81174965,1.396383949
2,tr_worse,0.313855317,0.213723869,0.408973499,0.537480733,0.469181491,0.605206388,1.31280378,1.156368379,1.454076813,1.031011476,0.802581844,1.380039052
3,tr_worse,0.314124502,0.219195134,0.405562912,0.537862863,0.479559199,0.603257977,1.313255984,1.163134498,1.458063926,1.028998551,0.813149281,1.386461674
4,tr_worse,0.31470655,0.220521767,0.407605577,0.538034888,0.459193503,0.58566975,1.313641287,1.165267621,1.456800309,1.0296689,0.810744683,1.370450057
5,tr_worse,0.313260402,0.219979979,0.40454661,0.537981826,0.455911204,0.591330068,1.312380213,1.16190392,1.454847618,1.028884151,0.806823389,1.367520934
6,tr_worse,0.31247487,0.214570895,0.406095839,0.537389967,0.491810134,0.600513192,1.31322947,1.162042118,1.450326493,1.02904026,0.803978268,1.375094012
7,tr_worse,0.312922544,0.215635534,0.408033202,0.537518104,0.475645554,0.610909072,1.313797168,1.162556854,1.45740764,1.031327645,0.815477952,1.368100349
8,tr_worse,0.312997029,0.214439053,0.40591219,0.53795824,0.478194887,0.600031321,1.313482552,1.167074877,1.453361634,1.030906248,0.808349645,1.371987856
9,tr_worse,0.313170082,0.216817468,0.404667986,0.537764079,0.477785999,0.611944298,1.313125201,1.140530644,1.454925892,1.028608237,0.81065529,1.364431195
10,tr_worse,0.313905759,0.21799831,0.410068368,0.537820377,0.490543456,0.587392753,1.311710926,1.156124107,1.448770674,1.029355391,0.806391123,1.36606159
11,tr_worse,0.313099874,0.216597995,0.408668797,0.53774259,0.476596839,0.591617043,1.313596122,1.156471769,1.449498503,1.032252575,0.811815813,1.374970355
12,tr_worse,0.31327146,0.217095457,0.406952819,0.538739144,0.460448426,0.585881719,1.31221629,1.14872749,1.457880494,1.031837466,0.806830118,1.362217454
13,tr_worse,0.313034302,0.213099754,0.407732732,0.538150842,0.490584115,0.582021959,1.313264418,1.158173009,1.451882912,1.031591981,0.806696383,1.383474466
14,tr_worse,0.312714025,0.214980765,0.403703836,0.537895918,0.471528824,0.611693074,1.315746664,1.1734255,1.45635753,1.0281602,0.805832322,1.380317435
15,tr_worse,0.313988833,0.216569213,0.406293864,0.538128213,0.457496478,0.607413971,1.317105463,1.169162598,1.456372735,1.033394282,0.81297044,1.367255069
16,tr_worse,0.314074197,0.218375065,0.40558423,0.538527681,0.473061567,0.595648021,1.31190788,1.139836251,1.454651281,1.034153742,0.808695275,1.374564661
17,tr_worse,0.313919585,0.216553247,0.407644137,0.53764404,0.486573106,0.59401753,1.313167736,1.154902125,1.454221732,1.031028484,0.806956151,1.380784821
18,tr_worse,0.313428886,0.218484198,0.404079571,0.538266679,0.457289207,0.603686884,1.313151618,1.151620391,1.453223266,1.033546801,0.809664488,1.375580578
19,tr_worse,0.312372383,0.213824416,0.407514655,0.537860455,0.487929213,0.605825709,1.314307403,1.161061597,1.453030502,1.031601407,0.808751801,1.373466095
20,tr_worse,0.31659007,0.222119603,0.408090532,0.537209576,0.452314031,0.597730658,1.317114066,1.158725988,1.461360711,1.03372286,0.809771946,1.370770582
21,tr_worse,0.311774172,0.212917867,0.403626172,0.536026911,0.472454898,0.599682262,1.315852008,1.153912073,1.460602968,1.039254619,0.819987434,1.382030898
22,tr_worse,0.31483256,0.217400132,0.409567297,0.538404661,0.459064352,0.593590202,1.313913841,1.160116215,1.456716411,1.036817676,0.812649478,1.379699958
23,tr_worse,0.313154396,0.215579666,0.407913284,0.538541041,0.489702292,0.596022413,1.316732559,1.172765234,1.453614725,1.033933326,0.808435555,1.369757904
24,tr_worse,0.312677828,0.217020073,0.409170852,0.536800364,0.478049977,0.587540148,1.315320585,1.171037241,1.462063027,1.031373308,0.801340562,1.367658734
25,tr_worse,0.312838063,0.220707627,0.406475545,0.537972027,0.46959885,0.596200254,1.314587325,1.163775968,1.454927389,1.029896697,0.809811752,1.374758757
26,tr_worse,0.313120634,0.215883644,0.406954519,0.537787401,0.476807944,0.602847616,1.313431386,1.156230719,1.451984368,1.027948886,0.80485503,1.372935432
27,tr_worse,0.312781999,0.217175599,0.404292545,0.538427317,0.466637761,0.59611703,1.307404649,1.147060377,1.445588792,1.023477551,0.806554318,1.370978814
28,tr_worse,0.311789763,0.212917994,0.407401271,0.537085005,0.459556002,0.597396828,1.308343419,1.151624296,1.448955534,1.016976992,0.79964242,1.343121653
29,tr_worse,0.312347255,0.213615237,0.405022381,0.538464585,0.45154678,0.601284485,1.312891445,1.161898291,1.449201283,1.030032269,0.811290572,1.350752323
30,tr_worse,0.312826722,0.218407152,0.405963971,0.538263811,0.443485688,0.596089107,1.314253009,1.165965821,1.456089519,1.034429491,0.814350169,1.376686021
31,tr_worse,0.316951893,0.219492578,0.409376152,0.537562793,0.420358352,0.613820017,1.314744337,1.165723167,1.454995964,1.032147414,0.804182411,1.369746228
32,tr_worse,0.311951311,0.215678292,0.405825815,0.538020916,0.450741789,0.595914856,1.307228573,1.162236384,1.443486522,1.023671214,0.803479821,1.360696187
33,tr_worse,0.312546474,0.211224132,0.408835068,0.538575199,0.458566903,0.598767999,1.313280513,1.166615518,1.458126668,1.030514537,0.816986254,1.364718083
34,tr_worse,0.315224236,0.218296185,0.411679429,0.538475031,0.454709048,0.589483041,1.302769041,1.154023292,1.438764898,1.024160418,0.801813029,1.35574075
35,tr_worse,0.313258787,0.214140841,0.408198493,0.538161966,0.477045164,0.604496327,1.315638202,1.168470962,1.451868286,1.035723026,0.808177242,1.364662422
36,tr_worse,0.313789427,0.218320164,0.404205363,0.538442021,0.477457436,0.581382332,1.314180408,1.16050197,1.45197133,1.030656682,0.804906182,1.369976399
37,tr_worse,0.314813573,0.219055241,0.410320005,0.536737816,0.476853227,0.617164039,1.317979714,1.173307602,1.459105643,1.034861483,0.814385489,1.380150629
38,tr_worse,0.314330411,0.216788137,0.407430103,0.539459606,0.476213198,0.602784122,1.31412816,1.168025474,1.454778598,1.036685307,0.81784374,1.379945132
39,tr_worse,0.311070684,0.212306441,0.405111475,0.53784883,0.48464194,0.623156306,1.309003512,1.150423241,1.450971991,1.023961533,0.803097774,1.357089591
40,tr_worse,0.314873901,0.218269348,0.404604383,0.538478542,0.484951648,0.607688756,1.313980814,1.154690827,1.455101287,1.033882482,0.813422992,1.383961772
41,tr_worse,0.314201472,0.217738378,0.405422872,0.538778754,0.459685667,0.58998455,1.312818086,1.168007895,1.451341033,1.0252278,0.80932064,1.365276718
42,tr_worse,0.311983234,0.217332062,0.405186992,0.538462773,0.480904288,0.601830322,1.314142965,1.157281674,1.454512448,1.028871837,0.810374016,1.36677561
